segment	net_limit	init_cap	ttff_s	video_start_s	stalls	first_fetched	start_rung_shown	variant_60s	settle_from_playback_s	startup_eff_pct	shifts_up	shifts_down	fetched_residency_pct	shown_residency_pct	play_id
s6	uncapped	0	2.8	4.8	0	33.8	33.8	33.8	0.0	92	0	0	33.808:100.0	buffer:8.1|33.808:91.9	71161bfb-e59f-4854-a496-958e210f656f
s6	uncapped	1	0.3	0.4	0	1.0	1.0	33.8	6.0	92	3	0	0.988:5.6|3.774:0.8|21.859:4.2|33.808:89.3	buffer:0.7|0.988:5.0|3.774:0.8|21.859:4.2|33.808:89.3	5afb5869-47c8-4296-9b06-88d571474776
s6	uncapped	2	0.5	0.5	0	1.5	1.5	33.8	3.8	93	2	0	1.542:6.0|5.822:1.2|33.808:92.7	buffer:0.9|1.542:5.1|5.822:1.2|33.808:92.7	4267e67f-2a92-4e59-8063-f855e803d998
s6	uncapped	8	0.6	0.7	0	1.0	1.0	33.8	3.1	94	1	0	0.988:6.3|33.808:93.7	buffer:1.2|0.988:5.1|33.808:93.7	1cdf4fd4-a0d4-42f2-a6f4-2fc57b90109d
s6	uncapped	16	1.7	1.8	0	14.1	14.1	33.8	2.9	94	1	0	14.085:7.9|33.808:92.1	buffer:3.1|14.085:4.9|33.808:92.1	0cf38a8f-997c-4e11-a39a-57efc8f67569
s6	16	0	3.1	6.0	0	33.8	9.1	9.1	0.0	90	0	0	9.05:97.2|33.808:2.8	buffer:10.0|9.05:90.0	4d309c75-2b09-4960-bf25-5e9ed117f240
s6	16	1	1.0	1.1	0	1.0	1.0	9.1	14.8	86	3	0	0.988:6.9|3.774:3.9|5.822:15.6|9.05:73.6	buffer:1.8|0.988:5.2|3.774:3.9|5.822:15.6|9.05:73.6	0de95c6e-c41e-41e5-b38a-d0956654d207
s6	16	2	1.4	1.5	0	1.5	1.5	9.1	10.7	89	2	0	1.542:7.4|5.822:13.0|9.05:79.6	buffer:2.6|1.542:4.9|5.822:13.0|9.05:79.6	5e99213e-c651-48fb-a159-9f1af1adb5b5
s6	16	8	2.3	4.4	0	5.8	5.8	9.1	4.6	90	1	0	5.822:15.0|9.05:85.0	buffer:7.3|5.822:7.7|9.05:85.0	9f3a33d6-2db4-450d-8247-f86ca16eee47
s6	16	16	4.5	9.9	0	14.1	14.1	14.1	0.0	84	0	0	14.085:100.0	buffer:16.4|14.085:83.6	205651f7-5a60-455c-91c8-5267c6db45b7
s6	8	0	3.3	7.5	0	33.8	5.8	5.8	0.0	87	0	0	5.822:96.7|33.808:3.3	buffer:12.5|5.822:87.5	10451ed8-d196-4716-80f9-8482854d047c
s6	8	1	1.7	1.8	0	1.0	1.0	5.8	19.7	83	2	0	0.988:8.1|3.774:27.8|5.822:64.1	buffer:3.0|0.988:5.1|3.774:27.8|5.822:64.1	50826034-fe9e-4c91-b327-9f3626ba5435
s6	8	2	2.5	2.6	0	1.0	1.5	5.8	19.4	80	3	0	0.988:1.7|1.542:7.7|2.409:8.1|3.774:19.2|5.822:63.3	buffer:4.3|1.542:5.1|2.409:8.1|3.774:19.2|5.822:63.3	db294e11-0825-40de-aaa0-184667cdbd99
s6	8	8	6.5	10.3	0	5.8	5.8	5.8	0.0	83	0	0	5.822:100.0	buffer:17.1|5.822:82.9	38417e7f-01aa-4600-9340-279a67d953f9
s6	8	16	4.0	7.8	0	1.0	5.8	5.8	0.0	87	0	0	0.988:1.7|5.822:97.6|14.085:0.8	buffer:13.0|5.822:87.0	1ec0188d-7789-4c9f-835a-900537b45404
s6	2	0	5.9	79.1	0	33.8	1.5	1.5	0.0	0	0	0	1.542:94.7|33.808:5.3	buffer:100.0	a875aa2e-e3d8-408b-9369-2c1dee054e8f
s6	2	1	5.3	7.1	1	1.0	1.0	1.5	39.7	65	2	1	0.988:66.5|1.542:21.9|2.409:11.7	buffer:16.9|0.988:49.6|1.542:21.9|2.409:11.7	0fcc7d99-ff4d-439c-86d3-f667ad58dee7
s6	2	2	5.2	6.6	0	1.5	1.0	1.5	11.4	76	1	0	0.988:40.3|1.542:59.7	buffer:11.0|0.988:35.9|1.542:53.0	1b693c99-7759-4cbc-b807-8b83c3362efd
s6	2	8	6.2	7.6	1	5.8	2.4	1.5	25.4	75	1	1	0.988:30.4|1.542:48.9|2.409:15.7|5.822:5.0	buffer:16.6|0.988:22.7|1.542:45.0|2.409:15.7	91962acb-1044-45fb-ba97-6a5335591048
s6	2	16	5.5	7.9	1	14.1	1.5	1.5	0.0	60	0	0	1.542:95.0|14.085:5.0	buffer:39.8|1.542:60.2	e26ce6fe-8bbf-4255-ac58-a269209af601
s2	uncapped	0	1.1	1.9	0	33.8	33.8	33.8	0.0	97	0	0	33.808:100.0	buffer:3.1|33.808:96.9	9a615eac-3ccf-4b30-946b-48cc0ccbbe27
s2	uncapped	1	0.5	0.7	0	1.0	1.0	33.8	7.1	91	4	0	0.988:6.3|3.774:0.7|14.085:2.5|21.859:3.4|33.808:87.1	buffer:1.1|0.988:5.2|3.774:0.7|14.085:2.5|21.859:3.4|33.808:87.1	0dcdfb80-7055-47e5-8a9c-c006a655f67c
s2	uncapped	2	0.5	0.7	0	1.0	1.0	33.8	6.2	91	3	0	0.988:6.1|5.822:1.5|21.859:3.8|33.808:88.6	buffer:1.2|0.988:5.0|5.822:1.5|21.859:3.8|33.808:88.6	bd6a259b-afb3-4e0c-88e7-e7d8ac6465c8
s2	uncapped	8	0.4	0.5	0	5.8	5.8	33.8	3.3	95	1	0	5.822:6.4|33.808:93.6	buffer:0.8|5.822:5.5|33.808:93.6	66977705-19b2-4469-bcc4-a9672c78951c
s2	uncapped	16	0.9	1.0	0	14.1	14.1	33.8	3.0	95	1	0	14.085:6.7|33.808:93.3	buffer:1.7|14.085:4.9|33.808:93.3	fe00c69b-0857-4327-ada8-7a52be967282
s2	16	0	2.4	4.0	0	1.0	9.1	14.1	4.8	90	1	0	0.988:2.9|9.05:11.7|14.085:85.4	buffer:6.7|9.05:7.9|14.085:85.4	b5a9722a-1834-468a-8e62-a9bcd9215b0b
s2	16	1	0.6	0.8	0	1.0	1.0	9.1	6.3	92	3	0	0.988:6.3|3.774:2.0|5.822:3.6|9.05:88.1	buffer:1.4|0.988:5.0|3.774:2.0|5.822:3.6|9.05:88.1	47859529-2acb-4601-a9a5-276d28f25142
s2	16	2	0.9	1.1	0	1.5	1.5	9.1	5.5	93	2	0	1.542:6.7|5.822:4.4|9.05:88.9	buffer:1.9|1.542:4.8|5.822:4.4|9.05:88.9	67dd001e-13d1-467d-b46a-7c9a2be10e1a
s2	16	8	1.3	2.5	0	5.8	5.8	14.1	14.9	86	2	0	5.822:7.7|9.05:21.3|14.085:71.0	buffer:4.1|5.822:3.6|9.05:21.3|14.085:71.0	741af19f-99e5-474a-acbe-6f02af5f4a10
s2	16	16	1.8	3.5	0	14.1	9.1	14.1	14.5	85	1	0	9.05:27.7|14.085:72.3	buffer:5.9|9.05:24.1|14.085:70.0	56106291-7bb1-4902-ab78-0c37dc7e5687
s2	8	0	2.7	5.1	0	33.8	5.8	5.8	0.0	92	0	0	5.822:96.7|33.808:3.3	buffer:8.5|5.822:91.5	6322f086-049f-4c8b-9c10-9a9c74f72a3d
s2	8	1	0.7	1.3	0	1.0	1.0	5.8	9.6	90	2	0	0.988:6.3|3.774:11.8|5.822:81.9	buffer:2.1|0.988:4.2|3.774:11.8|5.822:81.9	6cbb90b2-1bc2-4a16-b449-940d58815f35
s2	8	2	1.3	1.7	0	1.5	1.5	5.8	11.7	86	3	0	1.542:7.6|2.409:10.8|3.774:4.0|5.822:77.6	buffer:2.8|1.542:4.8|2.409:10.8|3.774:4.0|5.822:77.6	9a3be9b3-9b15-4a27-a204-8023dc465f4a
s2	8	8	2.9	4.9	0	5.8	5.8	5.8	0.0	92	0	0	5.822:100.0	buffer:8.1|5.822:91.9	b0723e32-a0a2-49d2-9b70-fbd14a98da20
s2	8	16	2.8	4.8	0	14.1	5.8	5.8	0.0	92	0	0	5.822:96.8|14.085:3.2	buffer:8.1|5.822:91.9	8b93d1e1-6071-4b3d-9f4c-b2d68fe49d63
s2	2	0	3.9	6.5	0	1.0	1.5	1.0	19.8	75	0	1	0.988:62.1|1.542:31.3|2.409:3.3|33.808:3.3	buffer:24.6|0.988:56.1|1.542:19.2	cef58ddb-3b35-4e99-a276-d513c3aa9278
s2	2	1	2.1	3.4	0	1.0	1.0	1.5	3.2	92	1	0	0.988:11.0|1.542:89.0	buffer:5.7|0.988:5.3|1.542:89.0	0fa33332-5f0c-4d9f-bfbe-51f0b6d8207a
s2	2	2	3.6	5.2	0	1.0	1.5	1.5	0.0	91	0	0	0.988:8.3|1.542:91.7	buffer:8.7|1.542:91.3	0418d8de-8d15-4d20-9fcb-28e9e7eefaa4
s2	2	8	3.0	5.2	0	5.8	1.5	1.0	30.2	67	0	1	0.988:38.1|1.542:40.8|2.409:12.8|5.822:8.3	buffer:32.7|0.988:31.7|1.542:26.2|2.409:9.4	31309deb-e555-468e-814d-ff70d9693936
s2	2	16	3.2	5.9	0	14.1	1.5	1.5	0.0	90	0	0	0.988:3.3|1.542:95.0|14.085:1.7	buffer:9.8|1.542:90.2	19d22c53-90f0-4e90-9e52-ace1dc8be1ee
s1	uncapped	0	0.8	1.6	0	1.0	1.0	33.8	9.5	82	1	0	0.988:18.3|33.808:81.7	buffer:2.6|0.988:15.7|33.808:81.7	e819b4ff-6561-4041-b711-a1b68cec4bb8
s1	uncapped	1	0.6	0.8	0	1.0	1.0	33.8	8.0	87	3	0	0.988:10.4|3.774:1.1|9.05:3.1|33.808:85.4	buffer:1.3|0.988:9.2|3.774:1.1|9.05:3.1|33.808:85.4	7d185987-dc75-40d3-b00c-c8b96463ad72
s1	uncapped	2	0.5	0.7	0	1.5	1.5	33.8	5.3	92	4	0	1.542:6.3|5.822:0.7|14.085:1.1|21.859:2.0|33.808:90.0	buffer:1.1|1.542:5.2|5.822:0.7|14.085:1.1|21.859:2.0|33.808:90.0	9b177f76-4aec-48bc-8f77-b084aa0e7a66
s1	uncapped	8	0.5	0.6	0	5.8	5.8	33.8	3.1	95	1	0	5.822:6.2|33.808:93.8	buffer:1.0|5.822:5.1|33.808:93.8	503480cf-7cb9-45e1-8232-51e0f464d97f
s1	uncapped	16	0.8	1.0	0	14.1	14.1	33.8	3.0	95	1	0	14.085:6.7|33.808:93.3	buffer:1.6|14.085:5.1|33.808:93.3	9c623cda-3a21-4b34-8f92-177337ec8e73
s1	16	0	2.8	3.9	0	1.0	9.1	14.1	8.3	89	1	0	0.988:3.0|9.05:17.3|14.085:79.7	buffer:6.5|9.05:13.8|14.085:79.7	6846c143-e41b-478b-96b7-7ae06b486e9d
s1	16	1	0.6	0.8	0	1.0	1.0	9.1	7.8	89	3	0	0.988:10.5|3.774:1.6|5.822:2.1|9.05:85.8	buffer:1.3|0.988:9.2|3.774:1.6|5.822:2.1|9.05:85.7	8a6f6eb5-dae1-4cbb-a614-da82e84bc8f9
s1	16	2	0.7	0.9	0	1.5	1.5	14.1	38.5	72	3	0	1.542:6.6|5.822:3.8|9.05:55.2|14.085:34.3	buffer:1.5|1.542:5.1|5.822:3.8|9.05:55.2|14.085:34.3	4808de7c-0332-458b-8234-80d541c6613f
s1	16	8	1.0	1.4	0	5.8	5.8	9.1	2.7	96	1	0	5.822:6.9|9.05:93.1	buffer:2.4|5.822:4.5|9.05:93.0	620ad9ef-273f-4bb1-93a0-97096012ac5e
s1	16	16	1.9	2.8	0	14.1	14.1	14.1	0.0	95	0	0	14.085:100.0	buffer:4.7|14.085:95.3	904b5400-187b-4832-9abc-06f5c4354611
s1	8	0	2.8	4.0	0	33.8	9.1	9.1	0.0	69	0	0	2.409:1.4|3.774:3.7|5.822:59.1|9.05:32.4|33.808:3.3	buffer:6.6|2.409:1.4|3.774:3.7|5.822:59.1|9.05:29.1	ea08922c-2e43-4017-bde9-de49cd55bf08
s1	8	1	0.8	1.0	0	1.0	1.0	5.8	10.2	88	2	0	0.988:10.6|3.774:8.1|5.822:81.3	buffer:1.7|0.988:8.9|3.774:8.1|5.822:81.3	6b7f4369-4718-4460-a85f-e113720f994c
s1	8	2	0.7	1.0	0	1.5	1.5	5.8	5.3	93	2	0	1.542:6.5|3.774:4.0|5.822:89.5	buffer:1.7|1.542:4.9|3.774:4.0|5.822:89.5	6eec10fc-0619-4c69-9ab3-8e2b6274a158
s1	8	8	1.4	2.2	0	1.0	1.0	5.8	0.0	96	1	0	0.988:3.6|5.822:96.4	buffer:3.6|0.988:0.0|5.822:96.4	7451c334-e368-4bed-b2a9-8a8a24afbd83
s1	8	16	2.8	3.5	0	14.1	5.8	5.8	0.0	94	0	0	5.822:95.4|14.085:4.6	buffer:5.9|5.822:94.1	89207ec5-ae12-4ec3-b3bb-8de36e8b92e7
