rep	segment	limit	cap	play_id
1	s6	0	0	57539a82-305e-43bc-8d32-4105611d62fa
1	s6	0	1	d555b29e-f05e-4d19-9c3f-117034038637
1	s6	0	2	ef4f719c-e80a-447c-88e3-5bcbdcaf75d5
1	s6	0	8	f50dfef5-59fd-4073-b8f1-7c78eb81bc88
1	s6	0	16	1ff8ce52-4494-4471-a8bc-538888bdaf8d
1	s6	16	0	6ee3313f-ea84-46df-b487-bbf4c0b20359
1	s6	16	1	3acb92a8-41e0-4ac2-ac97-b856c8ccecc0
1	s6	16	2	6c5a621d-3c8f-4081-9391-cb39a4d54bbe
1	s6	16	8	b763308d-dfe0-48d9-a4db-56279ac97331
1	s6	16	16	cb5d9d7e-cbe6-4dd9-9068-fda2a152fa06
1	s6	8	0	3cae2ec3-d5b4-4992-8c5d-a1beb5a24384
1	s6	8	1	bbeae987-9293-4910-94c5-f03296c28af5
1	s6	8	2	1a0f77ce-65b3-42d0-846a-ec0634cd4617
1	s6	8	8	eb666a74-11e2-4e1d-860b-105293b6cf86
1	s6	8	16	bdc137f8-a8ae-4bea-abce-f035897889e3
1	s6	2	0	290f225a-c257-4605-badd-aa5b67d377b8
1	s6	2	1	369ce90d-36ef-4e9c-83e6-57a33487dffd
1	s6	2	2	611d6185-18c8-4b2b-9a02-17fc29c2b405
1	s6	2	8	bedb75ff-9902-415c-969b-9ddb30035002
1	s6	2	16	43a2e7a1-03e7-47dc-8eba-9f7edbc04ee3
1	s2	0	0	3fe57ca2-fd43-4385-b64e-fbe64a03e25d
1	s2	0	1	e59535d7-5fc1-4f94-8ec2-efbe13a0cd41
1	s2	0	2	47e1d023-fe80-452c-b848-ce2476844406
1	s2	0	8	029f84cc-667c-46b2-83c7-bca816e9be1f
1	s2	0	16	6f056747-dbca-4a3f-b7a1-81ed7a97e3fa
1	s2	16	0	8395cbb2-8a8d-4493-af7e-bc4c8be66850
1	s2	16	1	8d58c9bf-2c8b-4b06-97f2-d0cd9b107ccf
1	s2	16	2	9f73c133-193e-47a0-a9eb-f115ca116e1f
1	s2	16	8	429b0c75-4206-45ca-a0cd-11a1a2e56f49
1	s2	16	16	d72fea43-22da-43c3-b7dc-6cee551329ab
1	s2	8	0	eb625b27-8e0b-4ad5-b3e8-884693ce6fbd
1	s2	8	1	48d0dc85-1780-4076-ae64-76a34c40d163
1	s2	8	2	2144785e-8914-45a1-9bdf-3628df1aa918
1	s2	8	8	bff8dc0a-4d93-4396-8b3e-83e6228abbc8
1	s2	8	16	0b8ba3f9-374b-4836-a445-cf6ca7cf0541
1	s2	2	0	e88e3d60-be64-4e67-96f5-bc631b2dd790
1	s2	2	1	e90d0b0e-ddae-40e3-b6b7-a2dd57bc05a8
1	s2	2	2	b25c8169-41e7-4763-9e52-23843239f40b
1	s2	2	8	45a058b8-2eba-4bfe-97b5-4c7827ee8080
1	s2	2	16	3517ed26-9b8f-467f-849e-f25690f96108
1	s1	0	0	b250838d-c67c-49c5-b81c-4b024deb7044
1	s1	0	1	762461c1-461d-427a-8b91-2336e518b047
1	s1	0	2	966134a8-3911-4866-8ad9-aa2839222b81
1	s1	0	8	6167b1f5-e129-439f-af80-c218c9aff02c
1	s1	0	16	92511e9c-fd3f-4e3a-bc82-b8a6e13a58d0
1	s1	16	0	a6ba3bd5-2047-40ed-be05-f54f053d3c07
1	s1	16	1	750e741d-0069-4305-b5d9-c22c22f38032
1	s1	16	2	772ca147-7994-4cba-ab80-2c889f4df8cd
1	s1	16	8	ed13e1b4-5aba-4ef6-b33b-7558664e3b22
1	s1	16	16	59452a69-ec33-4a20-9be4-ecd4058b32c4
1	s1	8	0	060caff2-7b54-4d4d-b263-b88a8902e5cc
1	s1	8	1	8deba27b-8de8-40ec-a1ac-110222d03b7f
1	s1	8	2	6cd6896f-df60-4b16-9299-bc8eebf85c57
1	s1	8	8	74e5eda8-fd81-49c6-88cb-ca57268545fa
1	s1	8	16	4cef8986-5f3e-40f3-a620-61c32a76be65
1	s1	2	0	79c13e1f-0f86-43a0-b761-95b8fe0e0446
